standardised_income_difficulties_cant_afford_night_out__synthetic_estimates, median_equivalised_household_income_synthetic_estimates, standardised_income_difficulties_access_money_synthetic_estimates, standardised_gini_coefficient_synthetic_estimates, standardised_leaving_low_income_from_benefit__synthetic_estimates, income_difficulties_cant_afford_night_out__synthetic_estimates, gini_coefficient_synthetic_estimates, median_disposable_household_income_synthetic_estimates, poverty_rate_synthetic_estimates, standardised_poverty_rate_synthetic_estimates, sa2_main11, standardised_median_disposable_household_income_synthetic_estimates, income_difficulties_access_money_synthetic_estimates, standardised_median_equivalised_household_income_synthetic_estimates, sa2_name11, leaving_low_income_from_benefit__synthetic_estimates
0.922884535,802.8,1.222250592,1.03138855,1.113370296,16.8,0.29,1444.6,6.8,0.705862496,702011047,1.349113136,16.0,1.270070358,"Flynn (NT)",24.5
null,null,null,null,null,null,null,null,null,null,701041042,null,null,null,"Palmerston - South",null
0.900911094,933.2,1.038913003,0.995823427,1.090648453,16.4,0.28,1664.6,5.4,0.560537864,701041041,1.554571318,13.6,1.476369778,"Palmerston - North",24.0
1.120645507,752.2,1.497256975,1.102518795,1.209710909,20.4,0.31,1322.0,8.8,0.913469112,702011045,1.234616894,19.6,1.190018589,"Charles",26.62
1.362353362,658.2,2.123660403,0.995823427,1.15472405,24.8,0.28,1220.6,10.4,1.079554405,701041040,1.13991935,27.8,1.041305816,"Moulden",25.41
1.131632228,694.6,1.955600947,1.066953672,1.274240943,20.6,0.3,1148.2,11.7,1.214498706,701041039,1.072304931,25.6,1.098892464,"Gray",28.04
0.911897815,928.8,1.100025533,0.995823427,1.063382242,16.6,0.28,1695.8,6.0,0.622819849,701041038,1.583709024,14.4,1.469408755,"Durack - Marlow Lagoon",23.4
0.867950932,783.4,0.825019149,1.03138855,1.10700818,15.8,0.29,1552.2,4.9,0.50863621,701031034,1.449600865,10.8,1.239378573,"Virginia",24.36
null,null,null,null,null,null,null,null,null,null,701031033,null,null,null,"Koolpinyah",null
0.933871256,802.8,0.886131679,1.066953672,1.085649648,17.0,0.3,1557.0,5.9,0.612439518,701031032,1.454083589,11.6,1.270070358,"Humpty Doo",23.89
0.83499077,780.2,0.870853547,1.102518795,1.151088555,15.2,0.31,1557.0,5.6,0.581298526,701031031,1.454083589,11.4,1.23431601,"Howard Springs",25.33
0.824004049,885.6,0.947244209,0.995823427,1.138364323,15.0,0.28,1650.4,4.4,0.456734556,701021030,1.541309926,12.4,1.401064161,"Wulagi",25.05
0.933871256,770.4,1.0847474,1.066953672,1.175173708,17.0,0.3,1557.0,5.0,0.519016541,701021029,1.454083589,14.2,1.218811913,"Wanguri",25.86
1.076698624,741.4,1.100025533,1.066953672,1.030208351,19.6,0.3,1501.4,7.5,0.778524812,701021028,1.402158703,14.4,1.17293244,"Wagaman",22.67
0.922884535,809.0,0.962522341,1.066953672,0.985219103,16.8,0.3,1453.4,5.2,0.539777203,701021027,1.357331463,12.6,1.279879072,"Tiwi",21.68
0.703150122,907.8,0.886131679,1.102518795,1.09973719,12.8,0.31,1453.4,5.9,0.612439518,701021026,1.357331463,11.6,1.436185688,"Rapid Creek",24.2
1.186565831,741.4,1.802819623,1.066953672,1.214709715,21.6,0.3,1434.6,8.5,0.88232812,701041044,1.339774128,23.6,1.17293244,"Woodroffe",26.73
0.725123563,854.6,0.977800473,1.173649039,1.181990261,13.2,0.33,1402.8,7.3,0.75776415,701021025,1.310076081,12.8,1.352020588,"Nightcliff",26.01
0.878937653,795.0,1.14585993,1.066953672,1.043841457,16.0,0.3,1322.0,6.6,0.685101834,701021023,1.234616894,15.0,1.257730362,"Millner",22.97
1.021765021,778.6,1.375031916,1.138083917,1.063836679,18.6,0.32,1444.6,7.5,0.778524812,701021022,1.349113136,18.0,1.231784729,"Malak - Marrara",23.41
1.065711904,866.6,0.993078606,1.066953672,1.061564494,19.4,0.3,1710.6,4.2,0.435973894,701021021,1.597530756,13.0,1.371005197,"Lyons (NT)",23.36
0.889924373,869.8,1.023634871,1.138083917,1.117005791,16.2,0.32,1557.0,5.9,0.612439518,701021020,1.454083589,13.4,1.376067759,"Leanyer",24.58
1.098672066,741.4,1.420866313,1.102518795,1.243339236,20.0,0.31,1420.2,9.9,1.027652751,701021019,1.326325956,18.6,1.17293244,"Karama",27.36
0.856964211,878.8,0.886131679,1.03138855,1.107917054,15.6,0.29,1621.8,5.2,0.539777203,701021018,1.514600363,11.6,1.390306216,"Jingili",24.38
0.867950932,936.2,1.008356738,0.88912806,1.133365517,15.8,0.25,1695.8,4.6,0.477495218,701041043,1.583709024,13.2,1.48111593,"Rosebery - Bellamack",24.94
0.933871256,741.4,1.634760166,1.244779284,1.301507154,17.0,0.35,1179.4,13.3,1.380583999,701021016,1.101442636,21.4,1.17293244,"Coconut Grove",28.64
null,null,null,null,null,null,null,null,null,null,701021015,null,null,null,"Charles Darwin",null
0.911897815,801.8,1.0847474,0.960258305,0.934322175,16.6,0.27,1557.0,3.2,0.332170586,701021011,1.454083589,14.2,1.268488307,"Anula",20.56
0.944857977,778.6,0.916687944,1.066953672,0.976584802,17.2,0.3,1456.0,6.9,0.716242827,701021010,1.359759605,12.0,1.231784729,"Alawa",21.49
